Source,H,O
shallow,-128.6,-13.20
mid,-131.8,-16.58
mid,-157.6,-18.81
mid,-146.2,-18.68
deep,-144.7,-18.13
deep,-143.2,-17.58
deep,-140.7,-17.18
deep,-131.0,-16.30
