Source,H,O
shallow,-126.6,-11.9
mid,-145.5,-16.37
mid,-153.7,-18.65
mid,-155.3,-19.15
deep,-152.8,-18.79
deep,-150.4,-18.43
deep,-139.9,-16.96
deep,-133.1,-16.27
