Source,H,O
shallow,-128.1,-12.01
mid,-139.5,-16.45
mid,-157.9,-18.92
mid,-153.8,-18.81
deep,-150.3,-18.48
deep,-146.8,-18.14
deep,-142.1,-17.23
deep,-131.9,-16.29
