Source,H,O
shallow,-127.2,-14.81
mid 1,-140.7,-17.34
mid 1,-141.9,-17.45
mid 1,-146.9,-18.49
mid 2,-143.6,-18.16
mid 2,-140.3,-17.82
mid 2,-136.9,-16.63
deep,-135.8,-16.5
deep,-134.8,-16.37
