Source,H,O
shallow,-130.2,-13.41
mid,-142.6,-17.04
mid,-150.3,-18.37
mid,-152.0,-18.73
deep,-151.7,-18.68
deep,-151.4,-18.63
deep,-140.1,-16.92
deep,-134.6,-16.24
