Source,H,O
shallow,-127.2,-14.81
mid,-140.7,-17.34
mid,-141.9,-17.45
mid,-146.9,-18.49
deep,-143.6,-18.16
deep,-140.3,-17.82
deep,-136.9,-16.63
deep,-134.8,-16.37
